epoch;train_loss;val_loss;train_acc;val_acc
0;0.460796598;0.001936988;51.25;100
1;0.036274788;0.002009144;95;100
2;0.023891303;0.002002486;97.5;100
3;0.017200488;0.002064348;98.75;100
4;0.012828003;0.002020848;98.75;100
5;0.009930854;0.002007774;98.75;100
6;0.008011971;0.002066451;100;100
